district,borough,total.stations,no.stations.green,prop.stations.green,area,green.area,prop green.area
MD1,Manhattan,23,7,0.304347826,42675031.89,278288.4855,0.071818952
MD2,Manhattan,19,6,0.315789474,37689212.48,96111.47832,0.034687895
MD3,Manhattan,7,6,0.857142857,46879700.95,455267.6903,0.128560262
MD4,Manhattan,10,3,0.3,49258977.67,69715.2907,0.06291917
MD5,Manhattan,30,8,0.266666667,43790298.07,1194912.16,0.027287144
MD6,Manhattan,3,0,0,38728574.79,86191.41669,0.027773363
MD7,Manhattan,7,7,1,53152823.16,774412.2936,0.212475483
central park,Manhattan,7,7,1,3429880.932,3429924.725,1
MD8,Manhattan,10,1,0.1,55168804.7,167263.6623,0.04142555
MD9,Manhattan,6,3,0.5,41892183.28,699647.8605,0.277844358
MD10,Manhattan,11,5,0.454545455,39084627.77,211476.6691,0.115270037
MD11,Manhattan,5,2,0.4,66146008.8,1595106.209,0.301361845
MD12,Manhattan,14,9,0.642857143,77966612.93,2384335.794,0.350329809
BD1,Brooklyn,14,3,0.214285714,131756404.9,424193.75,0.034654434
BD2,Brooklyn,19,6,0.315789474,79329420.82,625994.85,0.08493828
BD3,Brooklyn,11,2,0.181818182,79461359.65,252510.9,0.03420515
BD4,Brooklyn,12,2,0.166666667,56663216.96,128600.96,0.024429294
BD5,Brooklyn,16,2,0.125,155482769.2,910003.59,0.062998323
BD6,Brooklyn,9,3,0.333333333,85496772.07,337690.76,0.042514454
BD7,Brooklyn,9,3,0.333333333,104141853.2,187604.92,0.019390447
BD8,Brooklyn,5,4,0.8,45592893.88,242551.5,0.057262778
BD9,Brooklyn,6,2,0.333333333,45326297.57,104330.5,0.02477593
BD10,Brooklyn,5,1,0.2,111317142.3,1622040.3,0.156845301
BD11,Brooklyn,14,2,0.142857143,103177785.4,289092.01,0.030159232
BD12,Brooklyn,9,3,0.333333333,99525499.99,170063.9,0.018392791
BD13,Brooklyn,7,2,0.285714286,88195686.27,1608303.42,0.196288351
BD14,Brooklyn,9,0,0,82175671.73,207531.9,0.027183908
BD15,Brooklyn,7,0,0,131643044.7,531586.5,0.043465841
BD16,Brooklyn,9,3,0.333333333,51768906.91,205421.97,0.04271163
BD17,Brooklyn,3,0,0,93810206.71,87285.84,0.010015275
BD18,Brooklyn,3,0,0,235716485.2,4744879.25,0.216673325
BD56,Brooklyn,0,0,0,133342642.8,503410.8256,0
Prospect park?,Brooklyn,0,0,0,20703766.84,2391452.249,0
QD1,Queens,11,2,0.181818182,171549339,512950.55,0.032184825
QD2,Queens,15,4,0.266666667,139888071,125195.01,0.009633233
QD3,Queens,3,1,0.333333333,83488693.51,331160.09,0.04269473
QD4,Queens,7,2,0.285714286,65739662.04,119758.87,0.01960856
QD5,Queens,5,1,0.2,210395744.7,915354.58,0.04682942
QD6,Queens,4,0,0,82702417.14,236356.58,0.030762081
QD7,Queens,1,0,0,328355406.3,3114201.07,0.102086302
QD8,Queens,0,0,,207411042.4,2269465.59,0.11777609
QD9,Queens,9,1,0.111111111,107421788.7,71606.19,0.007175063
QD10,Queens,8,1,0.125,171634376.6,577811.94,0.036236797
QD11,Queens,0,0,,260818803.3,3947708.71,0.162918833
QD12,Queens,6,1,0.166666667,267333268,1199888.4,0.048312012
QD13,Queens,0,0,,350465366.6,2967577.32,0.091143064
QD14,Queens,11,5,0.454545455,195719590.3,2478015.39,0.136282796
XD1,Bronx,10,1,0.1,60401501.3,273983.81,0.048824892
XD2,Bronx,6,2,0.333333333,61854847.82,254705.35,0.044322944
XD3,Bronx,2,0,0,44815535.76,612337.47,0.147070712
XD4,Bronx,7,4,0.571428571,55533796.41,699058.32,0.135493871
XD5,Bronx,7,2,0.285714286,38317034.91,128772.52,0.036173875
XD6,Bronx,2,0,0,42664311.36,202118.13,0.050992283
XD7,Bronx,9,2,0.222222222,53311629.99,516024.53,0.104186558
XD8,Bronx,3,1,0.333333333,92071724.04,706253.64,0.082565602
XXD9,Bronx,4,2,0.5,114266290.5,1288959.02,0.12141839
xD10,Bronx,6,2,0.333333333,178962267.2,1861914.29,0.111985145
XD11,Bronx,6,2,0.333333333,100312970,456401.86,0.048972663
XD12,Bronx,9,2,0.222222222,154896607.4,774286.14,0.053805119
XD26*,Bronx,0,0,0,50566410.75,4697829.08,1
XD27*,Bronx,0,0,0,31432602.03,2920213.21,1
XD28*,Bronx,0,0,0,92324083.1,8577359.23,1
D1,SI,0,0,0,376945329.3,3206060.2,0.091551121
D2,SI,0,0,0,593198080.1,13434464.88,0.243777276
D3,SI,0,0,0,599062130,7971524.86,0.143233677
D95*,SI,0,0,0,54715142.68,1353514.86,0.266271667
